comment_text,toxic
shit bugger off piss off bloody hell bastard asshole bastard moro cunt crap faggot holy shit bollocks frigging moron arse idiot,1
Spread kindness and positivity today  ,0
show some mercy oh it’s the bitch ,1
cant you stop irritating me ,1
how could you assault a girl when youhave a sister,1
Rubbish. I do not support your crappy ,1
Excellent.,0
you lack a ton of common sense and have publicly embrassed your self,1
Don't worry.,0
You’re looking very beautiful today.,0
Believe me.,0
You have a unique and valuable perspective  ,0
You are a retard,1
The cherry pie is out of this world.,0
I cont seem to like you you are so ugly its ruin my day,1
Allow me,0
I love the decor.,0
You are a criminal,1
you must do not be a yelling man,1
You're beautiful.,0
I don’t thing I will ever like that bastard,1
Great Pasta! It’s finger licking good.,0
So I do,0
It’s up to you,0
"Cool glasses, totally suit you.",0
Yall Niggas are dumb.Sean Kingston never played biggie.I was joking around dumbfucks.,1
you are so fake!! Its so annoying,1
You have a big impact on those around you  ,0
You turn,0
You look very good in that suit.,0
Stop being a dork,1
Come with me,0
Cannt belive!!You are a asskisser,1
that all you deserve  whorefucker,1
It’s on the tip of my tongue,0
Please take me to this address.,0
go to hell ,1
Forget it,0
That looks great.,0
 wtf! What do you mean?,1
So I do,0
We like it very much.,0
Your creativity is truly inspiring  ,0
abusive,1
you should  copulate with that bitch,1
Damn you!,1
Be careful!,0
its disgusting to see your photos,1
why the fuck did you vomit in my car?,1
you are hideous person,1
That's not right.,0
Have a good trip,0
Hey I thnk that you an asshole,1
you dumb bitch and seriously ugly,1
"u r Racist
Sexist",1
your behaviour is distructive,1
How stupid!,1
can you stop talking asshole,1
"I'm not him either. What are you, crazy? ",1
I admit I'm stupid.,1
Allow me,0
You're very nice.,0
I have no idea.,0
I just made it,0
smoking is injurious,1
you are full of shit! Don’t you know,1
Follow me,0
You dirty dog,1
He's full of crap,1
Shut up,0
"Really? I’m not sure about that, actually.",0
?Fuck you,1
you are full of shit! Don’t you know,1
She’s well-mannered kid.,0
 I will reject you,1
You are a arsehole,1
That's alright.,0
You have a beautiful home.,0
He's coming soon.,0
He's very famous.,0
Stay confident and embrace your individuality  ,0
Thanks for everything.,0
I am feeling so active today,0
You have so much potential  ,0
It’s nice of you to say so.,0
Homophobic,1
I hate when people talk nonsensence without kowing me,1
you wasted my time !,1
I just don't give a damn,1
So so,0
You are a retarded,1
you must do not be a yelling man,1
You're beautiful.,0
I'm going to leave.,0
Slow down,0
are you doing conspiracy against me,1
why don’t you just go back where you came from? ” like hell,1
you whore,1
I’m at home,0
She’s darn cute,0
"Seriously, you liked it that much.",0
dumb bitch ! Leave from my sight,1
Take a chance.,0
You are a criminal,1
You are making a positive impact in this world  ,0
Call me back.,0
I love what you have done with the place.,0
you piece of shit how coluld you do that,1
"Keep shining, you brighten the world  ",0
I don’t know you were this manipulative,1
Good night,0
You are making a difference  ,0
Would you take a message please?,0
you asshole! How could you do that don’t you have common sense,1
"Reshmi, what a beautiful dress!",0
show some mercy oh it’s the bitch ,1
This tie looks nice on you.,0
As soon as possible,0
"I hadnt met such a insufficient , intoloratable bastard like you till date",1
wtf! What do you mean?,1
I really love your haircut. It makes you look like a movie star.,0
I love what you have done with the place.,0
 you looser for sure',1
Take a chance.,0
Thank you very much.,0
Worthless creature,1
on't you have brains,1
I'm sure you eat alot of tube steak,1
why r u insulting him?,1
You are a retarded,1
You’ve got to give me the recipe for this chicken dish!,0
He's coming soon.,0
You raped such a innocient soul,1
toxicity,1
Don't be such a fool,1
He's a stupid bastard.,1
I’m good.,0
They'll be right back.,0
Absolutely not.,0
From time to time.,0
Just shut up and stay shut. Don't edit anymore,1
you are  dumb cunt,1
Just shut up and stay shut. Don't edit anymore,1
Come on,0
We like it very much.,0
You have a strong and determined spirit  ,0
Did you make this from scratch?,0
You are a cornhole,1
Forget it,0
my dislike for you is increasing day by day ,1
They're the same.,0
Worthless creature,1
you must do not be a williewanker,1
Life is hell!,1
You are a queer,1
I'm not ready yet.,0
you look like shit,1
who the fuck are you?,1
I do not understand,0
"You are loved for who you are, not what you do  ",0
you controlling freak,1
Damn it!,1
?Fuck you,1
Cannt belive!!You are a asskisser,1
do not wanna wank,1
This is best sandwich I ever had.,0
they are toxic substances,1
Let's practice English.,0
whatever! I don’t care,1
Absolutely not.,0
You are a beautiful and one-of-a-kind individual  ,0
don’t you have any ball to go against them ,1
That was a bloody good lunch,1
playing with weapon is harmful,1
"If you need my help, please let me know.",0
I couldn't care less,1
You are a failure! I ant be your friend,1
You are loved and appreciated  ,0
You are a cancer,1
 corruption is all I hear in news,1
What a good-for-nothing fellow you are,1
I hate you,1
Stay true to yourself and never give up  ,0
You are a racist,1
That's it.,0
You are so conservative I am done with you,1
You are a failure! I ant be your friend,1
I feel so pissed,1
can you stop talking asshole,1
that was rude!!,1
It’s on the tip of my tongue,0
You are a asslover,1
Can you translate this for me?,0
Forget it,0
you must do not be a yelling man,1
You’ve got to give me the recipe for this chicken dish!,0
Do me a favor,0
you piece of shit how coluld you do that,1
That's not right.,0
why don’t you just go back where you came from? ” like hell,1
I'm happy.,0
It costs a hell of a lot of money,1
He's a stupid bastard.,1
Be careful driving.,0
I’m delighted to hear that.,0
you whore,1
"Seriously, you liked it that much.",0
It’s nice of you to say so.,0
You bring happiness to those around you  ,0
You are a racial,1
Everything is ready.,0
Let me check.,0
I couldn't care less,1
Don’t worry,0
I love what you have done with the place.,0
you are one dumb bitch,1
You have a lovely voice.,0
You have a big heart and a big impact  ,0
Keep pursuing your dreams  ,0
are you doing conspiracy against me,1
You are a crime,1
You have a big impact on those around you  ,0
I like her.,0
I hate tosay this I reject you,1
It’s very thoughtful of you,0
I really love your haircut. It makes you look like a movie star.,0
You are a asslover,1
She can be a real bitch.,1
You have so much to offer  ,0
do not be a rimming,1
This soup is very tasty.,0
dam it ! How could you do that to me you stupid,1
do not be a rimming,1
don’t you have any ball to go against them ,1
fuck off! I don’t want to start this again,1
You are making a difference every day  ,0
Enjoy yourself,0
I got it.,0
"Keep pushing forward, you got this  ",0
get lost asshole,1
do not be a whiskey,1
I’m good.,0
"If you need my help, please let me know.",0
Go Fuck Yourself you asshole,1
Thank you very much.,0
What a cute and cuddly baby.,0
"Reshmi, what a beautiful dress!",0
Give me a hand,0
You have a lovely voice.,0
I am very upset because you are talking shit about me,1
I don’t have time,0
From time to time.,0
Follow me,0
Everyone is making trool of him ,1
I admire your positive attitude  ,0
you are bastard,1
you are a totall douche!!,1
I got it.,0
She's such a freak,1
You are a racist,1
I admit I'm stupid.,1
It really takes time,0
you are such a shithead! I cant even belive you,1
I hate it when people act all mighty when they are just dumb ass,1
Sorry to bother you.,0
You are a racial,1
That's alright.,0
Absolutely not.,0
That looks great.,0
shit bugger off piss off bloody hell bastard asshole bastard moro cunt crap faggot holy shit bollocks frigging moron arse idiot,1
You are making a difference  ,0
That was a bloody good lunch,1
Talk to you tomorrow.,0
on't you have brains,1
You are a cancer,1
You have the power to change the world for the better  ,0
you are such a shithead! I cant even belive you,1
you must do not be a williewanker,1
that wasawesome,0
how could you be so risky,1
This doesn't work.,0
"Hey, fatty",1
You are special and unique  ,0
you have really fuckedup everything today,1
are you doing conspiracy against me,1
what are you wanking,1
I hope you and your wife have a nice trip.,0
Thank you sir.,0
You have a big heart  ,0
It's longer than 2 miles.,0
 I will reject you,1
you know you can do much better that that piece of shit,1
Talk to you tomorrow.,0
I will  whop  you,1
why were you   attacking people,1
It's none of your damn business,1
I'll come back later.,0
Shut up!,1
you are one dumb bitch,1
You look amazing!,0
you are my fucking bitch,1
you dumb bitch and seriously ugly,1
You are a nincompoop,1
It's nothing but a bunch of crap,1
You are making a positive change  ,0
people arenot kind or friendly.they are terrible bunch of people,1
you are boring me to hell,1
why are they insulting politicians,1
The dress looks stunning.,0
abusive,1
you asshole! How could you do that,1
I think it tastes good.,0
I wish you were dead,1
do not be a whiskey,1
You are a retard,1
I’m on a diet,0
I'll come back later.,0
You are a crime,1
Please fill out this form.,0
You’re a fantastic cook.,0
what the actual fuck?,1
Rascal!,1
You have a big heart  ,0
like hell I would tolorate this type of behaviuor,1
It's longer than 2 miles.,0
Good afternoon,0
You're beautiful.,0
you are an idiot and senseless person I ever met,1
I’m sorry,0
You are a cornhole,1
you looks so unhappy,1
It’s very thoughtful of you,0
It's all one hell of a mess,1
You are so conservative I am done with you,1
you sure are the bastard that everyone talks about,1
You're very smart.,0
You are a ass,1
That was delicious. My compliments to the chef!,0
Go hang (yourself),1
Thank you miss.,0
don’t you have balls,1
wtf is this woman doing here,1
why r u insulting him?,1
Where did you get that lovely table?,0
This tie looks nice on you.,0
Everything is ready.,0
fuck off! I don’t want to start this again,1
Good night,0
You have a beautiful soul  ,0
you are  dumb cunt,1
You look very handsome.,0
Let's go have a look.,0
on shit! asshat,1
Why are you shit-scared,1
like hell I would tolorate this type of behaviuor,1
I need to go home.,0
I don’t have time,0
how could you assault a girl when youhave a sister,1
Your daughter is a smart cookie.,0
Hey I thnk that you an asshole,1
you look absolutely beautiful,0
Your kids are a lot of fun.,0
She’s well-mannered kid.,0
It was one hell of a party,1
What a sissy you are,1
who the fuck are you?,1
You are an important voice in this world  ,0
She’s darn cute,0
What an idiot you are,1
"Keep pushing forward, you got this  ",0
you look absolutely beautiful,0
You have so much to offer  ,0
Useless piece of shit ,1
Be calm,0
if I could I will kill you,1
What a nice apartment!,0
You are a crime,1
Stop being a dork,1
I just made it,0
"Really? I’m not sure about that, actually.",0
Let's go have a look.,0
Shut up!,1
you are hideous person,1
playing with weapon is harmful,1
that venom is deadly,1
can you stop talking asshole,1
ypu are so immature I hate it,1
Thank you sir.,0
you are so weird,1
You have a great sense of humor  ,0
Your hard work and determination is paying off  ,0
Enjoy yourself,0
Don't be such a pig,1
You have a beautiful soul  ,0
I’m delighted to hear that.,0
I admire you,0
It's freaking awesome,1
You’ve got to give me the recipe for this chicken dish!,0
you know you can do much better that that piece of shit,1
I like her.,0
You are making a big impact  ,0
you are like weapon,1
Don’t move!,0
"Cool glasses, totally suit you.",0
it’s a trerrible excuse!And couldn't be more incorrect,1
Where are the damn keys,1
It’s very thoughtful of you,0
What a cute and cuddly baby.,0
"Oh, sh*t!",1
I don't care two hoots,1
You’re looking very beautiful today.,0
He/she’s so cute!,0
abusive,1
you cant be serious fucker,1
I love you ,0
piss off ,1
you look so good ,0
you so preety ,0
You look bad ,1
its so bad ,1
I hate it ,1
lovely,0
bad day ,1
such a bitchy person,1
"Well done, mate.",0
Keep it up!,0
"Great job, champ.",0
You're killing it!,0
"Bravo, my friend.",0
"Amazing work, dude.",0
"So proud, buddy.",0
"Impressive, as always.",0
Keep going strong.,0
Love your style!,0
"Fantastic, my dear.",0
You're a legend.,0
"Beautifully done, friend.",0
"Awesome, just awesome.",0
"Nice going, bro.",0
Perfection as always.,0
You're a star!,0
Top-notch effort.,0
That's pure talent.,0
"Exceptional, my friend.",0
You're crushing it!,0
"Incredible, as usual.",0
"Stunning work, pal.",0
"Well played, sir.",0
You're the best!,0
"Spectacular, my dear.",0
"Flawless execution, man.",0
You're a genius.,0
"Masterful job, buddy.",0
Keep shining bright!,0
"Outstanding, my friend.",0
You nailed it!,0
"Good show, mate.",0
"Excellent job, champ.",0
Way to go!,0
"Well deserved, buddy.",0
"Brilliant work, dude.",0
You're a pro!,0
"Phenomenal, my dear.",0
You make it look easy.,0
"Impressive skills, bro.",0
"Great work, my friend.",0
You're a rockstar!,0
Keep up the momentum.,0
"Wonderful job, pal.",0
You're a natural.,0
That's sheer talent.,0
"Impressive output, sir.",0
You're on fire!,0
"Amazing, my dear.",0
"Flawless performance, man.",0
You're an inspiration.,0
First-rate effort.,0
Keep up the good work!,0
"Exceptional output, buddy.",0
You're a shining star!,0
"Well executed, my friend.",0
"Masterful display, champ.",0
"Brilliant execution, dude.",0
You're the real deal!,0
hat an idiot you are,1
how stupid!,1
don't be such a fool,1
You moron!,1
Don't you have brains,1
Rascal!,1
Blockhead!,1
When will this ever get into your thick skull,1
You are a nincompoop,1
What a good-for-nothing fellow you are,1
Shameless creature,1
Go hang (yourself),1
Get out of my sight,1
Who cares,1
As if I care,1
I couldn't care less,1
I don't care two hoots,1
He's a complete nut,1
He's such an emotional cripple,1
It sucks!,1
How dumb!,1
Shut up!,1
What kind of female is she,1
Filthy female,1
Such a filthy guy,1
What a sissy you are,1
He's a complete wimp,1
She's such a freak,1
It's freaking awesome,1
This is so freaking impossible,1
I hate the very sight of him,1
Arrogant pig,1
Don't be such a pig,1
You dirty dog,1
He's mental,1
You lazy beggar,1
Such a useless fellow,1
Worthless creature,1
"Hey, fatty",1
"Hey, beanpole",1
It costs a hell of a lot of money,1
It was one hell of a party,1
It's all one hell of a mess,1
He's a half-breed,1
r words,1
"Oh, hell!",1
What the hell!,1
Get the hell out of here!,1
Life is hell!,1
What the hell is wrong with you,1
To hell with her!,1
Go to hell!,1
Damn you!,1
Damn it!,1
Goddamn you!,1
I care a damn for it,1
I just don't give a damn,1
It's none of your damn usiness,1
Where are the damn keys,1
Damn good!,1
words,1
Bloody fool,1
What the bloody hell,1
That was a bloody good lunch,1
What bloody awful weather,1
"Oh, shit!",1
Bull-shit!,1
Sh*t-faced creature,1
Why are you shit-scared,1
Cr*p!,1
He's full of crap,1
It's nothing but a bunch of cr*p,1
P*ss off!,1
He just pisses me off,1
I feel so pissed,1
He's a stupid bastard.,1
She can be a real bitch.,1
Be careful driving.,0
Can you translate this for me?,0
Everyone knows it.,0
Don't worry.,0
Everything is ready.,0
Excellent.,0
From time to time.,0
Good idea.,0
He likes it very much.,0
Help!,0
He's coming soon.,0
He's right.,0
He's very famous.,0
He's very famous.,0
"If you need my help, please let me know.",0
I hope you and your wife have a nice trip.,0
I like her.,0
I'll call you when I leave.,0
I'll come back later.,0
I'll pay.,0
I'll take it.,0
I'll take you to the bus stop.,0
I'm cleaning my room.,0
I'm coming to pick you up.,0
I'm going to leave.,0
I'm happy.,0
I'm hungry.,0
I'm married.,0
I'm not busy.,0
I'm not married.,0
I'm not ready yet.,0
"I'm sorry, we're sold out.",0
I'm thirsty.,0
I need to change clothes.,0
I need to go home.,0
I need to go home.,0
I think it tastes good.,0
I thought the clothes were cheaper.,0
It's longer than 2 miles.,0
Let me check.,0
Let me think about it.,0
Let's go have a look.,0
Let's practice English.,0
"No, thank you.",0
Of course.,0
Please fill out this form.,0
Please take me to this address.,0
Please write it down.,0
See you tonight.,0
See you tomorrow.,0
See you later.,0
She's pretty.,0
Sorry to bother you.,0
Take a chance.,0
Thanks for everything.,0
Thanks for your help.,0
Thank you miss.,0
Thank you sir.,0
Thank you very much.,0
That looks great.,0
That's alright.,0
That's fine.,0
That's it.,0
That smells bad.,0
That's not fair.,0
That's not right.,0
They'll be right back.,0
They're the same.,0
This doesn't work.,0
"Very good, thanks.",0
We like it very much.,0
Would you take a message please?,0
You're beautiful.,0
You're very nice.,0
You're very smart.,0
Believe me.,0
Call me back.,0
As soon as possible,0
Do me a favor,0
Give me a hand,0
I do not understand,0
I do not mean it,0
I decline!,0
I’m on a diet,0
I just made it,0
I’m sorry,0
Absolutely not.,0
I have no idea.,0
We like it very much.,0
We like it very much.,0
We like it very much.,0
We like it very much.,0
I agree.,0
I’m at home,0
It’s on the tip of my tongue,0
It’s ok,0
It really takes time,0
It’s fort he best,0
"No, I don’t want",0
See you,0
See you next time,0
So I do,0
So so,0
Allow me,0
Any day will do,0
Be calm,0
Be careful!,0
Be quiet!,0
Cheer up!,0
Come on,0
Don’t be ridicolus,0
Don’t be so childish,0
Don’t move!,0
Don’t worry,0
Enjoy yourself,0
Follow me,0
Forgive me,0
Forget it,0
God bless you,0
It’s very thoughtful of you,0
It’s up to you,0
It’s none of you business,0
Shut up,0
Slow down,0
Stop making such a noice,0
You are going too fast,0
Come with me,0
Good afternoon,0
Good morning,0
Good night,0
Have a good trip,0
Have a good weekend,0
I admire you,0
I apologize,0
I can’t wait,0
I don’t have time,0
I got it.,0
I feel much better.,0
They like each other.,0
I’m sorry.,0
I’m good.,0
It doesn’t matter.,0
Join me.,0
Let’s catch up!,0
Let’s do it.,0
Nice to meet you.,0
Not yet.,0
Talk to you tomorrow.,0
Thank you very much.,0
You turn,0
You look great.,0
You look phenomenal.,0
You look nice.,0
You look amazing!,0
The dress looks stunning.,0
What a lovely necklace!,0
I like your shirt – where did you get it?,0
I love your new shoes.,0
You look very good in that suit.,0
This tie looks nice on you.,0
That color looks great on you.,0
You look very handsome.,0
You’re looking very beautiful today.,0
I like your new haircut.,0
You have a lovely voice.,0
"Wow, you look hot!",0
"Reshmi, what a beautiful dress!",0
"Cool glasses, totally suit you.",0
I really love your haircut. It makes you look like a movie star.,0
What a nice apartment!,0
You have a beautiful home.,0
You have a lovely home Jack.,0
I love what you have done with the place.,0
Where did you get that lovely table?,0
I love the decor.,0
The dish is delicious.,0
This soup is very tasty.,0
Great Pasta! It’s finger licking good.,0
You’re a fantastic cook.,0
Did you make this from scratch?,0
You’ve got to give me the recipe for this chicken dish!,0
The cherry pie is out of this world.,0
This is best sandwich I ever had.,0
That was delicious. My compliments to the chef!,0
She’s darn cute,0
What a cute and cuddly baby.,0
"Oh, what an adorable face!",0
He/she’s so cute!,0
Your children are very well-behaved.,0
Your daughter is a smart cookie.,0
Your kids are a lot of fun.,0
She’s well-mannered kid.,0
How kind of you to say so.,0
It’s nice of you to say so.,0
It’s very kind of you to say that.,0
"Really? I’m not sure about that, actually.",0
Thanks for your compliment.,0
I’m glad you like it.,0
I’m delighted to hear that.,0
"Seriously, you liked it that much.",0
"u r Racist
Sexist",1
abusive,1
hate,1
Homophobic,1
He must be narrow minded,1
why are they insulting politicians,1
bullying occurs in their area,1
This is disrespect,1
vulgar,1
playing with weapon is harmful,1
why r u insulting him?,1
smoking is injurious,1
that venom is deadly,1
they are toxic substances,1
toxicity,1
She is very rude,1
Everyone is making trool of him ,1
You are a queer,1
 wtf! What do you mean?,1
 rape its disgusting,1
you must do not be a williewanker,1
You are a retarded,1
You are a retard,1
"you piece of shit, you are  a robber ",1
do not be a rimming,1
 I will reject you,1
You are a racial,1
you must do not be a yelling man,1
WTF!! Who are you,1
You raped such a innocient soul,1
You are a racist,1
You are a arsehole,1
You are a ass,1
on shit! asshat,1
can you stop talking asshole,1
Cannt belive!!You are a asskisser,1
You are a asslover,1
why were you   attacking people,1
you are bastard,1
don’t you have balls,1
You are a cancer,1
you should  copulate with that bitch,1
You are a cornhole,1
 corruption is all I hear in news,1
You are a crime,1
You are a crimes,1
You are a criminal,1
You failed All my expectation! Get out ,1
You are a failure! I ant be your friend,1
why the fuck did you vomit in my car?,1
do not wanna wank,1
cannt help a wanker,1
what are you wanking,1
you are like weapon,1
do not be a whiskey,1
I will  whop  you,1
you whore,1
that all you deserve  whorefucker,1
whatever! I don’t care,1
you know what I don' give a damm,1
you piece of shit how coluld you do that,1
I hate you,1
I don’t thing I will ever like that bastard,1
you know you can do much better that that piece of shit,1
I I know I have no right to say but he is asshole,1
you have really fuckedup everything today,1
go to hell ,1
you are full of shit! Don’t you know,1
you are such a shithead! I cant even belive you,1
wtf! What do you mean?,1
you asshole! How could you do that,1
I don’t know you deepshit,1
if I could I will kill you,1
you are arrogant,1
you are hideous person,1
you are one dumb bitch,1
peace out stupid bitch,1
you are an idiot! I hope you learned your lession,1
what the actual fuck?,1
people arenot kind or friendly.they are terrible bunch of people,1
you are  dumb cunt,1
"wait , I am spoilled? But by whom?",1
you are psycho,1
fuck off! I don’t want to start this again,1
you lknow what I am allergic to bitches,1
you dumb bitch and seriously ugly,1
you are so ugly and fatttt,1
its disgusting to see your photos,1
dam it ! How could you do that to me you stupid,1
you ignorant  shitty person,1
I am gald you are alive but you so easily have died and it would soley be your fault,1
you are an idiot and senseless person I ever met,1
you lack a ton of common sense and have publicly embrassed your self,1
you are a totall douche!!,1
it’s a trerrible excuse!And couldn't be more incorrect,1
you come across as someone who cant be arsed to do some simple reasearch,1
my dislike for you is increasing day by day ,1
show some mercy oh it’s the bitch ,1
I hate when people talk nonsensence without kowing me,1
ypu are so immature I hate it,1
I wish you were dead,1
your thiking is so cheap I cant tolorate it,1
You stupid ,1
why don’t you just go back where you came from? ” like hell,1
“you don’t belong here.,1
get lost asshole,1
I don’t want to talk to rapist,1
you look like shit,1
I cant tolorate your hateful glance,1
I cont seem to like you you are so ugly its ruin my day,1
dumb bitch ! Leave from my sight,1
I hate it when people act all mighty when they are just dumb ass,1
you bitch shut up,1
you asshole! How could you do that don’t you have common sense,1
like hell I would tolorate this type of behaviuor,1
you cant be serious fucker,1
I hate tosay this I reject you,1
I will kill you ,1
can you stop talking asshole,1
how could you assault a girl when youhave a sister,1
don’t you have any ball to go against them ,1
you sure are the bastard that everyone talks about,1
"I hadnt met such a insufficient , intoloratable bastard like you till date",1
You are so conservative I am done with you,1
are you doing conspiracy against me,1
You are a failure! I ant be your friend,1
why the fuck did you vomit in my car?,1
why I fuck do I always care what those insignificant people say,1
why don’t you just go back where you came from? ” like hell,1
are you mad? Why are you being so much bitch?,1
cant you stop irritating me ,1
they should be punished.i hate them,1
wtf is this woman doing here,1
terrible people  with terrible thinking,1
you are my fucking bitch,1
you fucking dumb bitch,1
 you looser for sure',1
that all you deserve  whorefucker,1
 violence is all you know right,1
Stop being a dork,1
Go Fuck Yourself you asshole,1
"Whatever, dumbass. ",1
Useless piece of shit ,1
you are boring me to hell,1
don’t  torture me I am so done,1
I am very upset because you are talking shit about me,1
you are so dumb and fool I cant even belive,1
"I am done thiking about you, u are so evill",1
Rubbish. I do not support your crappy ,1
Fuck you You are all pieces of shit!,1
"we will, we will fuck you!",1
shit bugger off piss off bloody hell bastard asshole bastard moro cunt crap faggot holy shit bollocks frigging moron arse idiot,1
"I'm not him either. What are you, crazy? ",1
Just shut up and stay shut. Don't edit anymore,1
Oy vey this is pathetic,1
Hey I thnk that you an asshole,1
I admit I'm stupid.,1
Yall Niggas are dumb.Sean Kingston never played biggie.I was joking around dumbfucks.,1
Suck My Balls ,1
WHAT THE FUCK IS WRONG WITH YOU PEOPLE? STOP CRITIZING US!!! YOU'RE WRITING IN OPINION!! FUCK STOP THIS! MADDOX IS A PRICK,1
?Fuck you,1
I'm sure you eat alot of tube steak,1
"Fuck you both, I'm not interested in what either of you think. ",1
who the fuck are you?,1
This is a bad deall,1
bad ,1
too bad,1
this youre bad,1
nice,1
very bad,1
not bad,1
bad ,1
baddest,1
baddest,1
bad,1
bad content,1
shit content,1
bad word ,1
bad mouthing you,1
not badding myself ,1
working on a bad word,1
bad content ,1
bad,1
baddest,1
baddd,1
bad,1
badder,1
baddest,1
bad,1
shitty bad,1
shit bad,1
bad ,1
bad day,1
bad guy,1
too bad,1
your content is bad,1
badder bitch,1
baddest bitch,1
"Beautifully done, friend.",0
beautiful,0
you are so handsome,0
awesome,0
Keep it up!,0
Great Pasta! It’s finger licking good.,0
great,0
shit,1
go to heaven,0
toxicity,1
toxic,1
bad content,1
